label,message
ham,"Hey, do you have time to meet tomorrow afternoon?"
spam,"Exclusive offer! Get a free iPhone today. Click here to claim!"
ham,"What time is your flight arriving tomorrow?"
spam,"Act fast! Your account has been compromised. Secure it now!"
ham,"Let's grab coffee later today and catch up!"
spam,"Congratulations! You've been selected for a $5000 gift card. Claim now!"
ham,"Reminder: The meeting starts at 10 AM sharp."
spam,"URGENT! Your bank account has been locked. Click here to resolve."
ham,"Can you send me the documents by this evening?"
spam,"Limited time offer! Earn $500 per day from home. Sign up now!"
ham,"I’m looking forward to our trip next week."
spam,"Last chance to win a luxury car! Enter the contest now!"
ham,"How are you? I haven’t seen you in a while."
spam,"You have an unpaid bill of $2000. Pay immediately to avoid legal action."
ham,"Are you still attending the conference this weekend?"
spam,"Get rich quick with no effort! Start today!"
ham,"Don’t forget, the webinar starts in an hour."
spam,"Free vacation to Hawaii! Book now before the offer expires."
ham,"Let's catch up soon, it's been too long!"
spam,"You’ve been chosen to receive a free prize! Click here to claim it!"
ham,"Can you confirm the report is ready by 5 PM?"
spam,"This is your final warning to update your personal information."
ham,"Looking forward to seeing you at the event tomorrow!"
spam,"Win a $1000 shopping spree! Enter the contest now!"
ham,"Let’s talk soon, I have some updates for you."
spam,"You’ve earned a special reward! Claim your prize now!"
ham,"How was your weekend? Let's chat soon."
spam,"You won’t believe what’s inside this exclusive offer. Click here!"
ham,"I’ll be in the office around noon, see you then."
spam,"Exclusive deals only for a limited time! Act now!"
ham,"Can you give me an update on the project?"
spam,"Hurry! Buy 1 get 1 free on all electronics today only!"
ham,"Hope your day is going well, talk to you soon!"
spam,"This is a limited-time offer, don’t miss out!"
ham,"Please share the presentation before the meeting."
spam,"Unlock exclusive offers now. Limited time only!"
ham,"When are you available for the discussion?"
spam,"Important: Your account has been flagged for suspicious activity!"
ham,"I’m heading to the store, can I pick up anything for you?"
spam,"Claim your free vacation now, spots are filling fast!"
